z,y,x,time
-0.0147247314453125,-0.9495849609375,0.341766357421875,1727699087157239
-0.021209716796875,-0.920806884765625,0.3797760009765625,1727699087167242
-0.0044403076171875,-0.918670654296875,0.35693359375,1727699087177245
0.0226593017578125,-0.9303436279296875,0.3231353759765625,1727699087187248
0.034698486328125,-0.9164276123046875,0.3181304931640625,1727699087197250
0.023651123046875,-0.924102783203125,0.329345703125,1727699087207253
0.0173492431640625,-0.9501953125,0.3459320068359375,1727699087217256
0.0074310302734375,-0.9722442626953125,0.365264892578125,1727699087227259
0.0072784423828125,-0.9920654296875,0.37225341796875,1727699087237262
0.011016845703125,-0.9841461181640625,0.3852996826171875,1727699087247265
0.0302886962890625,-0.9661712646484375,0.39593505859375,1727699087257268
0.0490264892578125,-0.976348876953125,0.3605194091796875,1727699087267271
0.065155029296875,-0.94842529296875,0.3873291015625,1727699087277273
0.08917236328125,-0.9526824951171875,0.3647308349609375,1727699087287276
0.0971221923828125,-0.955230712890625,0.366790771484375,1727699087297279
0.09808349609375,-0.9440460205078125,0.377838134765625,1727699087307282
0.093719482421875,-0.942840576171875,0.384063720703125,1727699087317285
0.0817108154296875,-0.938507080078125,0.379150390625,1727699087327288
0.0659637451171875,-0.9326629638671875,0.36163330078125,1727699087337291
0.05908203125,-0.92279052734375,0.3458099365234375,1727699087347294
0.0638885498046875,-0.91632080078125,0.33245849609375,1727699087357296
0.069793701171875,-0.9140625,0.332794189453125,1727699087367299
0.0723419189453125,-0.9107208251953125,0.342529296875,1727699087377302
0.0728759765625,-0.918121337890625,0.3507537841796875,1727699087387305
0.064849853515625,-0.9241943359375,0.351776123046875,1727699087397308
0.0522918701171875,-0.9271697998046875,0.34942626953125,1727699087407311
0.0355072021484375,-0.93023681640625,0.3433837890625,1727699087417314
0.0291900634765625,-0.927520751953125,0.3363800048828125,1727699087427317
0.02838134765625,-0.922760009765625,0.33782958984375,1727699087437320
0.0329132080078125,-0.92376708984375,0.3390045166015625,1727699087447322
0.035858154296875,-0.92535400390625,0.340576171875,1727699087457325
0.0365753173828125,-0.92657470703125,0.341094970703125,1727699087467328
0.0360107421875,-0.9238739013671875,0.3431854248046875,1727699087477331
0.029327392578125,-0.9240875244140625,0.336395263671875,1727699087487334
0.016876220703125,-0.9239501953125,0.328338623046875,1727699087497337
0.008331298828125,-0.9185028076171875,0.33026123046875,1727699087507340
0.0058441162109375,-0.9178009033203125,0.3314971923828125,1727699087517343
0.009552001953125,-0.9175567626953125,0.3321533203125,1727699087527346
0.0140838623046875,-0.9263916015625,0.334014892578125,1727699087537348
0.0205841064453125,-0.9368438720703125,0.3435516357421875,1727699087547351
0.0278167724609375,-0.9445343017578125,0.3504791259765625,1727699087557354
0.0374755859375,-0.950836181640625,0.34710693359375,1727699087567357
0.034881591796875,-0.9554595947265625,0.34307861328125,1727699087577360
0.02874755859375,-0.9506988525390625,0.340789794921875,1727699087587363
0.0254364013671875,-0.9418182373046875,0.3344879150390625,1727699087597366
0.0230712890625,-0.9386138916015625,0.3233489990234375,1727699087607369
0.0225830078125,-0.936004638671875,0.317962646484375,1727699087617372
0.024017333984375,-0.9332733154296875,0.321197509765625,1727699087627374
0.0201416015625,-0.9363861083984375,0.3252410888671875,1727699087637377
0.013031005859375,-0.934967041015625,0.333343505859375,1727699087647380
0.00885009765625,-0.936859130859375,0.329437255859375,1727699087657383
0.009429931640625,-0.9423980712890625,0.3197784423828125,1727699087667386
0.0125579833984375,-0.9358978271484375,0.3097381591796875,1727699087677389
0.0146331787109375,-0.928955078125,0.303070068359375,1727699087687392
0.0161590576171875,-0.9247589111328125,0.2947540283203125,1727699087697395
0.016082763671875,-0.9234771728515625,0.2886505126953125,1727699087707398
0.0120697021484375,-0.9263153076171875,0.287353515625,1727699087717401
0.008392333984375,-0.9327239990234375,0.2916717529296875,1727699087727403
0.01275634765625,-0.937255859375,0.2967681884765625,1727699087737406
0.0187530517578125,-0.9395294189453125,0.306304931640625,1727699087747409
0.024810791015625,-0.9386749267578125,0.3180389404296875,1727699087757412
0.029510498046875,-0.9366607666015625,0.3270111083984375,1727699087767415
0.038787841796875,-0.933563232421875,0.3301849365234375,1727699087777418
0.0446014404296875,-0.9327239990234375,0.3307952880859375,1727699087787421
0.0396881103515625,-0.9320831298828125,0.337493896484375,1727699087797424
0.032135009765625,-0.935272216796875,0.34051513671875,1727699087807426
0.0262603759765625,-0.940216064453125,0.341552734375,1727699087817429
0.02166748046875,-0.94354248046875,0.3460235595703125,1727699087827431
0.0315093994140625,-0.94805908203125,0.3484649658203125,1727699087837435
0.044921875,-0.9504852294921875,0.3422698974609375,1727699087847437
0.0542755126953125,-0.9450531005859375,0.336639404296875,1727699087857440
0.05364990234375,-0.9398040771484375,0.3284149169921875,1727699087867443
0.0426177978515625,-0.9359588623046875,0.3231048583984375,1727699087877446
0.024658203125,-0.927703857421875,0.3237152099609375,1727699087887449
0.016510009765625,-0.924530029296875,0.321441650390625,1727699087897452
0.0147247314453125,-0.925079345703125,0.318603515625,1727699087907455
0.01544189453125,-0.926849365234375,0.319610595703125,1727699087917458
0.0229644775390625,-0.9281768798828125,0.3201751708984375,1727699087927461
0.0295562744140625,-0.9294281005859375,0.3184967041015625,1727699087937463
0.03424072265625,-0.931121826171875,0.3156890869140625,1727699087947466
0.0334930419921875,-0.9288482666015625,0.316741943359375,1727699087957469
0.0269775390625,-0.9282379150390625,0.31689453125,1727699087967473
0.0161590576171875,-0.9270477294921875,0.320281982421875,1727699087977475
0.0124359130859375,-0.9229736328125,0.325439453125,1727699087987478
0.0166778564453125,-0.923126220703125,0.3259124755859375,1727699087997481
0.0288238525390625,-0.9281463623046875,0.3241729736328125,1727699088007484
0.0390167236328125,-0.9283294677734375,0.3226470947265625,1727699088017487
0.0414886474609375,-0.929962158203125,0.3253936767578125,1727699088027490
0.0335540771484375,-0.9304656982421875,0.328826904296875,1727699088037493
0.0240325927734375,-0.931884765625,0.33245849609375,1727699088047496
0.0207672119140625,-0.9372711181640625,0.336029052734375,1727699088057498
0.02301025390625,-0.93768310546875,0.34014892578125,1727699088067501
0.0305023193359375,-0.936981201171875,0.3451080322265625,1727699088077504
0.0389862060546875,-0.9394989013671875,0.3471527099609375,1727699088087507
0.0439300537109375,-0.937042236328125,0.3483123779296875,1727699088097511
0.0425872802734375,-0.9334716796875,0.3503570556640625,1727699088107513
0.0333404541015625,-0.9332275390625,0.34930419921875,1727699088117516
0.0254058837890625,-0.92840576171875,0.3470001220703125,1727699088127519
0.0205535888671875,-0.926849365234375,0.342254638671875,1727699088137522
0.0198974609375,-0.9277191162109375,0.33782958984375,1727699088147526
0.0260467529296875,-0.9263458251953125,0.337158203125,1727699088157527
0.032958984375,-0.9282073974609375,0.3383331298828125,1727699088167530
0.0375518798828125,-0.9291229248046875,0.3429718017578125,1727699088177533
0.039276123046875,-0.928070068359375,0.3489532470703125,1727699088187536
0.0415191650390625,-0.9263153076171875,0.3506622314453125,1727699088197539
0.039764404296875,-0.926055908203125,0.3541107177734375,1727699088207542
0.038970947265625,-0.9233245849609375,0.354095458984375,1727699088217545
0.0341796875,-0.9261322021484375,0.3527679443359375,1727699088227549
0.02886962890625,-0.9271240234375,0.3538665771484375,1727699088237551
0.0272979736328125,-0.9279327392578125,0.35626220703125,1727699088247554
0.030242919921875,-0.930755615234375,0.35675048828125,1727699088257557
0.0380096435546875,-0.93389892578125,0.3558502197265625,1727699088267560
0.0464630126953125,-0.9340667724609375,0.35284423828125,1727699088277564
0.051025390625,-0.934906005859375,0.35308837890625,1727699088287565
0.049774169921875,-0.9345550537109375,0.356414794921875,1727699088297568
0.0460968017578125,-0.9297027587890625,0.35760498046875,1727699088307571
0.0372314453125,-0.9243316650390625,0.358917236328125,1727699088317574
0.0334625244140625,-0.9238433837890625,0.3609466552734375,1727699088327577
0.037078857421875,-0.9211273193359375,0.36114501953125,1727699088337580
0.0448760986328125,-0.9242095947265625,0.3558807373046875,1727699088347583
0.0525665283203125,-0.929107666015625,0.3511810302734375,1727699088357586
0.0583343505859375,-0.932281494140625,0.349273681640625,1727699088367589
0.0532989501953125,-0.932281494140625,0.3485107421875,1727699088377592
0.0451507568359375,-0.9325103759765625,0.3516998291015625,1727699088387595
0.03973388671875,-0.928802490234375,0.3545379638671875,1727699088397598
0.0375823974609375,-0.92364501953125,0.356842041015625,1727699088407602
0.031768798828125,-0.91748046875,0.363861083984375,1727699088417603
0.029083251953125,-0.9124603271484375,0.368255615234375,1727699088427606
0.0353851318359375,-0.9109344482421875,0.3656005859375,1727699088437609
0.0435333251953125,-0.9130096435546875,0.3623046875,1727699088447612
0.05694580078125,-0.9147186279296875,0.36090087890625,1727699088457615
0.063812255859375,-0.9161529541015625,0.355865478515625,1727699088467618
0.063690185546875,-0.9257659912109375,0.3500213623046875,1727699088477621
0.05584716796875,-0.928131103515625,0.349029541015625,1727699088487624
0.04229736328125,-0.928253173828125,0.3538360595703125,1727699088497627
0.0305938720703125,-0.928802490234375,0.357635498046875,1727699088507630
0.0248870849609375,-0.9237060546875,0.363037109375,1727699088517633
0.0281524658203125,-0.9196929931640625,0.3643951416015625,1727699088527636
0.0332794189453125,-0.91912841796875,0.3654632568359375,1727699088537639
0.0380401611328125,-0.9169158935546875,0.3649139404296875,1727699088547641
0.0412445068359375,-0.9175262451171875,0.364532470703125,1727699088557644
0.039459228515625,-0.921661376953125,0.3593292236328125,1727699088567647
0.035888671875,-0.928070068359375,0.3596954345703125,1727699088577650
0.035919189453125,-0.9346160888671875,0.361053466796875,1727699088587653
0.03570556640625,-0.9359588623046875,0.3626556396484375,1727699088597656
0.0384979248046875,-0.934051513671875,0.3632049560546875,1727699088607659
0.0426177978515625,-0.929473876953125,0.3629913330078125,1727699088617662
0.0446624755859375,-0.9219970703125,0.3640289306640625,1727699088627665
0.041351318359375,-0.91790771484375,0.3630218505859375,1727699088637668
0.038330078125,-0.915618896484375,0.359039306640625,1727699088647671
0.0380401611328125,-0.915069580078125,0.3585968017578125,1727699088657674
0.0402069091796875,-0.9160919189453125,0.3548126220703125,1727699088667677
0.0441741943359375,-0.9180755615234375,0.3496856689453125,1727699088677680
0.04791259765625,-0.9190673828125,0.3442840576171875,1727699088687683
0.04693603515625,-0.9229583740234375,0.34088134765625,1727699088697685
0.045989990234375,-0.92474365234375,0.3435516357421875,1727699088707688
0.0427093505859375,-0.9212188720703125,0.3543853759765625,1727699088717691
0.037139892578125,-0.9197845458984375,0.3661041259765625,1727699088727694
0.0359039306640625,-0.917205810546875,0.372833251953125,1727699088737697
0.037841796875,-0.91339111328125,0.375274658203125,1727699088747700
0.0442352294921875,-0.9138641357421875,0.3733978271484375,1727699088757703
0.0530853271484375,-0.914306640625,0.3685302734375,1727699088767706
0.05596923828125,-0.9140472412109375,0.3619232177734375,1727699088777709
0.054046630859375,-0.9174652099609375,0.3594207763671875,1727699088787712
0.04962158203125,-0.920196533203125,0.362030029296875,1727699088797715
0.04022216796875,-0.9275054931640625,0.3649444580078125,1727699088807718
0.02880859375,-0.92864990234375,0.37353515625,1727699088817721
0.0225982666015625,-0.9281768798828125,0.3818511962890625,1727699088827724
0.025054931640625,-0.9269561767578125,0.3837738037109375,1727699088837727
0.03399658203125,-0.9209136962890625,0.38494873046875,1727699088847730
0.0439453125,-0.9152984619140625,0.3848724365234375,1727699088857733
0.050048828125,-0.9119415283203125,0.38397216796875,1727699088867736
0.047607421875,-0.9131927490234375,0.38348388671875,1727699088877738
0.0440216064453125,-0.9117584228515625,0.3819427490234375,1727699088887741
0.039947509765625,-0.9176025390625,0.3765716552734375,1727699088897744
0.037811279296875,-0.92291259765625,0.371551513671875,1727699088907747
0.0408172607421875,-0.92620849609375,0.371795654296875,1727699088917750
0.0482635498046875,-0.926177978515625,0.3691253662109375,1727699088927753
0.0551605224609375,-0.92413330078125,0.366943359375,1727699088937756
0.056121826171875,-0.919586181640625,0.3653411865234375,1727699088947759
0.0505828857421875,-0.91595458984375,0.367340087890625,1727699088957762
0.0423431396484375,-0.914276123046875,0.371429443359375,1727699088967765
0.0342864990234375,-0.9106903076171875,0.376953125,1727699088977768
0.0310821533203125,-0.906005859375,0.3782501220703125,1727699088987771
0.037261962890625,-0.908050537109375,0.3737640380859375,1727699088997774
0.0471954345703125,-0.9107513427734375,0.3685302734375,1727699089007777
0.0578765869140625,-0.912384033203125,0.36444091796875,1727699089017780
0.0607147216796875,-0.9177093505859375,0.3648681640625,1727699089027783
0.05853271484375,-0.92041015625,0.36309814453125,1727699089037786
0.0533599853515625,-0.9258880615234375,0.361053466796875,1727699089047789
0.0439300537109375,-0.926605224609375,0.3633270263671875,1727699089057792
0.0326690673828125,-0.9237823486328125,0.3690032958984375,1727699089067794
0.021270751953125,-0.921417236328125,0.372772216796875,1727699089077797
0.0191192626953125,-0.9167022705078125,0.3776397705078125,1727699089087800
0.0217132568359375,-0.9146728515625,0.38189697265625,1727699089097803
0.02996826171875,-0.913299560546875,0.3810272216796875,1727699089107806
0.0435943603515625,-0.9163055419921875,0.3800506591796875,1727699089117809
0.052978515625,-0.91741943359375,0.380218505859375,1727699089127812
0.0552978515625,-0.921417236328125,0.376434326171875,1727699089137815
0.0501861572265625,-0.92474365234375,0.3735198974609375,1727699089147818
0.0413360595703125,-0.9271697998046875,0.3732757568359375,1727699089157821
0.0345001220703125,-0.92333984375,0.3766021728515625,1727699089167824
0.0355072021484375,-0.92291259765625,0.377777099609375,1727699089177827
0.0416717529296875,-0.9207000732421875,0.3774261474609375,1727699089187830
0.046844482421875,-0.919158935546875,0.37664794921875,1727699089197833
0.0501861572265625,-0.9198760986328125,0.378021240234375,1727699089207836
0.049163818359375,-0.918365478515625,0.3800201416015625,1727699089217839
0.040191650390625,-0.91534423828125,0.3815765380859375,1727699089227842
0.03009033203125,-0.9116363525390625,0.38226318359375,1727699089237845
0.0248565673828125,-0.910797119140625,0.379058837890625,1727699089247848
0.02972412109375,-0.912078857421875,0.37359619140625,1727699089257852
0.03704833984375,-0.9129180908203125,0.3694915771484375,1727699089267854
0.0416717529296875,-0.9145355224609375,0.3680267333984375,1727699089277857
0.04168701171875,-0.9158172607421875,0.368408203125,1727699089287859
